p_id,workclass,education,education_num,education_cat_lev,education_cat,marital_status,occupation,relationship,native_country,income,income_lev
0,Public-sector,Bachelors,13,4,Bachelor's degree,0,Adm-clerical,Not-in-family,United-States,<=50K,0
1,Self-emp,Bachelors,13,4,Bachelor's degree,1,Exec-managerial,Husband,United-States,<=50K,0
2,Private,HS-grad,9,2,HS graduate,0,Handlers-cleaners,Not-in-family,United-States,<=50K,0
3,Private,11th,7,1,Less than HS graduate,1,Handlers-cleaners,Husband,United-States,<=50K,0
4,Private,Bachelors,13,4,Bachelor's degree,1,Prof-specialty,Wife,Cuba,<=50K,0
5,Private,Masters,14,5,Graduate or professional degree,1,Exec-managerial,Wife,United-States,<=50K,0
6,Private,9th,5,1,Less than HS graduate,1,Other-service,Not-in-family,Jamaica,<=50K,0
7,Self-emp,HS-grad,9,2,HS graduate,1,Exec-managerial,Husband,United-States,>50K,1
8,Private,Masters,14,5,Graduate or professional degree,0,Prof-specialty,Not-in-family,United-States,>50K,1
9,Private,Bachelors,13,4,Bachelor's degree,1,Exec-managerial,Husband,United-States,>50K,1
10,Private,Some-college,10,3,Some college or associate's degree,1,Exec-managerial,Husband,United-States,>50K,1
11,Public-sector,Bachelors,13,4,Bachelor's degree,1,Prof-specialty,Husband,India,>50K,1
12,Private,Bachelors,13,4,Bachelor's degree,0,Adm-clerical,Own-child,United-States,<=50K,0
13,Private,Assoc-acdm,12,3,Some college or associate's degree,0,Sales,Not-in-family,United-States,<=50K,0
14,Private,Assoc-voc,11,3,Some college or associate's degree,1,Craft-repair,Husband,?,>50K,1
15,Private,7th-8th,4,1,Less than HS graduate,1,Transport-moving,Husband,Mexico,<=50K,0
16,Self-emp,HS-grad,9,2,HS graduate,0,Farming-fishing,Own-child,United-States,<=50K,0
17,Private,HS-grad,9,2,HS graduate,0,Machine-op-inspct,Unmarried,United-States,<=50K,0
18,Private,11th,7,1,Less than HS graduate,1,Sales,Husband,United-States,<=50K,0
19,Self-emp,Masters,14,5,Graduate or professional degree,0,Exec-managerial,Unmarried,United-States,>50K,1
20,Private,Doctorate,16,5,Graduate or professional degree,1,Prof-specialty,Husband,United-States,>50K,1
