workclass,education,education_num,education_cat_lev,education_cat,marital_status,occupation,relationship,native_country,income,income_lev
Public-sector,Bachelors,13,4,Bachelor's degree,0,Adm-clerical,Not-in-family,United-States,<=50K,0
Self-emp,Bachelors,13,4,Bachelor's degree,1,Exec-managerial,Husband,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,0,Handlers-cleaners,Not-in-family,United-States,<=50K,0
Private,11th,7,1,Less than HS graduate,1,Handlers-cleaners,Husband,United-States,<=50K,0
Private,Bachelors,13,4,Bachelor's degree,1,Prof-specialty,Wife,Cuba,<=50K,0
Private,Masters,14,5,Graduate or professional degree,1,Exec-managerial,Wife,United-States,<=50K,0
Private,9th,5,1,Less than HS graduate,1,Other-service,Not-in-family,Jamaica,<=50K,0
Self-emp,HS-grad,9,2,HS graduate,1,Exec-managerial,Husband,United-States,>50K,1
Private,Masters,14,5,Graduate or professional degree,0,Prof-specialty,Not-in-family,United-States,>50K,1
Private,Bachelors,13,4,Bachelor's degree,1,Exec-managerial,Husband,United-States,>50K,1
Private,Some-college,10,3,Some college or associate's degree,1,Exec-managerial,Husband,United-States,>50K,1
Public-sector,Bachelors,13,4,Bachelor's degree,1,Prof-specialty,Husband,India,>50K,1
Private,Bachelors,13,4,Bachelor's degree,0,Adm-clerical,Own-child,United-States,<=50K,0
Private,Assoc-acdm,12,3,Some college or associate's degree,0,Sales,Not-in-family,United-States,<=50K,0
Private,Assoc-voc,11,3,Some college or associate's degree,1,Craft-repair,Husband,?,>50K,1
Private,7th-8th,4,1,Less than HS graduate,1,Transport-moving,Husband,Mexico,<=50K,0
Self-emp,HS-grad,9,2,HS graduate,0,Farming-fishing,Own-child,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,0,Machine-op-inspct,Unmarried,United-States,<=50K,0
Private,11th,7,1,Less than HS graduate,1,Sales,Husband,United-States,<=50K,0
Self-emp,Masters,14,5,Graduate or professional degree,0,Exec-managerial,Unmarried,United-States,>50K,1
Private,Doctorate,16,5,Graduate or professional degree,1,Prof-specialty,Husband,United-States,>50K,1
Private,HS-grad,9,2,HS graduate,0,Other-service,Unmarried,United-States,<=50K,0
Public-sector,9th,5,1,Less than HS graduate,1,Farming-fishing,Husband,United-States,<=50K,0
Private,11th,7,1,Less than HS graduate,1,Transport-moving,Husband,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,0,Tech-support,Unmarried,United-States,<=50K,0
Public-sector,Bachelors,13,4,Bachelor's degree,1,Tech-support,Husband,United-States,>50K,1
Private,HS-grad,9,2,HS graduate,0,Craft-repair,Own-child,United-States,<=50K,0
?,Some-college,10,3,Some college or associate's degree,1,?,Husband,South,>50K,1
Private,HS-grad,9,2,HS graduate,0,Exec-managerial,Not-in-family,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,1,Craft-repair,Husband,United-States,<=50K,0
Public-sector,Assoc-acdm,12,3,Some college or associate's degree,0,Protective-serv,Not-in-family,United-States,<=50K,0
Private,Some-college,10,3,Some college or associate's degree,0,Sales,Own-child,United-States,<=50K,0
Private,Bachelors,13,4,Bachelor's degree,0,Exec-managerial,Own-child,United-States,<=50K,0
Public-sector,Some-college,10,3,Some college or associate's degree,1,Adm-clerical,Own-child,United-States,<=50K,0
Public-sector,Some-college,10,3,Some college or associate's degree,1,Other-service,Husband,United-States,<=50K,0
Private,11th,7,1,Less than HS graduate,0,Machine-op-inspct,Unmarried,Puerto-Rico,<=50K,0
Private,Some-college,10,3,Some college or associate's degree,0,Machine-op-inspct,Own-child,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,1,Adm-clerical,Wife,United-States,<=50K,0
Private,Some-college,10,3,Some college or associate's degree,1,Sales,Husband,?,>50K,1
Self-emp,Assoc-acdm,12,3,Some college or associate's degree,1,Prof-specialty,Husband,United-States,<=50K,0
Private,9th,5,1,Less than HS graduate,1,Machine-op-inspct,Husband,United-States,<=50K,0
Self-emp,Bachelors,13,4,Bachelor's degree,1,Prof-specialty,Husband,United-States,<=50K,0
Private,Bachelors,13,4,Bachelor's degree,1,Tech-support,Husband,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,0,Adm-clerical,Unmarried,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,0,Handlers-cleaners,Not-in-family,United-States,<=50K,0
Public-sector,Bachelors,13,4,Bachelor's degree,1,Prof-specialty,Husband,United-States,>50K,1
Private,HS-grad,9,2,HS graduate,1,Machine-op-inspct,Husband,United-States,<=50K,0
Private,Masters,14,5,Graduate or professional degree,0,Exec-managerial,Unmarried,United-States,<=50K,0
Public-sector,Assoc-voc,11,3,Some college or associate's degree,1,Craft-repair,Husband,United-States,<=50K,0
Private,Assoc-voc,11,3,Some college or associate's degree,0,Prof-specialty,Not-in-family,United-States,<=50K,0
Private,Some-college,10,3,Some college or associate's degree,1,Exec-managerial,Wife,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,0,Other-service,Own-child,?,<=50K,0
Private,Prof-school,15,5,Graduate or professional degree,1,Prof-specialty,Wife,Honduras,>50K,1
Public-sector,Bachelors,13,4,Bachelor's degree,0,Exec-managerial,Not-in-family,United-States,>50K,1
Self-emp,HS-grad,9,2,HS graduate,0,Exec-managerial,Not-in-family,United-States,<=50K,0
Private,Some-college,10,3,Some college or associate's degree,1,Tech-support,Husband,United-States,>50K,1
Private,5th-6th,3,1,Less than HS graduate,1,Machine-op-inspct,Husband,Mexico,<=50K,0
Private,Assoc-voc,11,3,Some college or associate's degree,1,Other-service,Husband,Puerto-Rico,<=50K,0
Private,HS-grad,9,2,HS graduate,1,Adm-clerical,Husband,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,1,Machine-op-inspct,Husband,United-States,<=50K,0
Private,Bachelors,13,4,Bachelor's degree,1,Sales,Husband,United-States,<=50K,0
?,7th-8th,4,1,Less than HS graduate,1,?,Not-in-family,?,<=50K,0
Private,HS-grad,9,2,HS graduate,1,Transport-moving,Husband,United-States,<=50K,0
Private,Doctorate,16,5,Graduate or professional degree,1,Prof-specialty,Husband,United-States,>50K,1
Private,Some-college,10,3,Some college or associate's degree,0,Tech-support,Not-in-family,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,1,Craft-repair,Husband,United-States,<=50K,0
Private,Some-college,10,3,Some college or associate's degree,0,Adm-clerical,Not-in-family,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,1,Adm-clerical,Wife,United-States,>50K,1
Self-emp,Some-college,10,3,Some college or associate's degree,1,Exec-managerial,Husband,United-States,>50K,1
?,Some-college,10,3,Some college or associate's degree,0,?,Own-child,United-States,<=50K,0
Private,Some-college,10,3,Some college or associate's degree,0,Prof-specialty,Own-child,United-States,<=50K,0
Private,Bachelors,13,4,Bachelor's degree,0,Sales,Own-child,United-States,<=50K,0
Self-emp,Bachelors,13,4,Bachelor's degree,1,Sales,Husband,United-States,>50K,1
Private,Some-college,10,3,Some college or associate's degree,0,Machine-op-inspct,Not-in-family,United-States,<=50K,0
Private,Some-college,10,3,Some college or associate's degree,1,Prof-specialty,Other-relative,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,0,Other-service,Own-child,Mexico,<=50K,0
Private,Assoc-acdm,12,3,Some college or associate's degree,1,Adm-clerical,Husband,United-States,<=50K,0
?,10th,6,1,Less than HS graduate,1,?,Husband,United-States,<=50K,0
Private,11th,7,1,Less than HS graduate,0,Other-service,Own-child,United-States,<=50K,0
Public-sector,7th-8th,4,1,Less than HS graduate,1,Farming-fishing,Husband,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,0,Sales,Not-in-family,United-States,<=50K,0
Private,Bachelors,13,4,Bachelor's degree,1,Other-service,Husband,Cuba,<=50K,0
Private,HS-grad,9,2,HS graduate,1,Other-service,Wife,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,1,Sales,Husband,United-States,<=50K,0
Private,HS-grad,9,2,HS graduate,0,Craft-repair,Not-in-family,United-States,>50K,1
Private,HS-grad,9,2,HS graduate,0,Sales,Own-child,United-States,<=50K,0
Public-sector,HS-grad,9,2,HS graduate,1,Protective-serv,Husband,United-States,>50K,1
Private,Masters,14,5,Graduate or professional degree,1,Prof-specialty,Husband,United-States,<=50K,0
Private,9th,5,1,Less than HS graduate,0,Sales,Not-in-family,United-States,<=50K,0
