age,workclass,fnlwgt,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income_lev,education_cat_lev
39,Public-sector,77516,13,0,Adm-clerical,Not-in-family,4,1,2174,0,40,United-States,0,4
50,Self-emp,83311,13,1,Exec-managerial,Husband,4,1,0,0,13,United-States,0,4
38,Private,215646,9,0,Handlers-cleaners,Not-in-family,4,1,0,0,40,United-States,0,2
53,Private,234721,7,1,Handlers-cleaners,Husband,2,1,0,0,40,United-States,0,1
28,Private,338409,13,1,Prof-specialty,Wife,2,0,0,0,40,Cuba,0,4
37,Private,284582,14,1,Exec-managerial,Wife,4,0,0,0,40,United-States,0,5
49,Private,160187,5,1,Other-service,Not-in-family,2,0,0,0,16,Jamaica,0,1
52,Self-emp,209642,9,1,Exec-managerial,Husband,4,1,0,0,45,United-States,1,2
31,Private,45781,14,0,Prof-specialty,Not-in-family,4,0,14084,0,50,United-States,1,5
42,Private,159449,13,1,Exec-managerial,Husband,4,1,5178,0,40,United-States,1,4
37,Private,280464,10,1,Exec-managerial,Husband,2,1,0,0,80,United-States,1,3
30,Public-sector,141297,13,1,Prof-specialty,Husband,1,1,0,0,40,India,1,4
23,Private,122272,13,0,Adm-clerical,Own-child,4,0,0,0,30,United-States,0,4
32,Private,205019,12,0,Sales,Not-in-family,2,1,0,0,50,United-States,0,3
40,Private,121772,11,1,Craft-repair,Husband,1,1,0,0,40,?,1,3
34,Private,245487,4,1,Transport-moving,Husband,0,1,0,0,45,Mexico,0,1
25,Self-emp,176756,9,0,Farming-fishing,Own-child,4,1,0,0,35,United-States,0,2
32,Private,186824,9,0,Machine-op-inspct,Unmarried,4,1,0,0,40,United-States,0,2
38,Private,28887,7,1,Sales,Husband,4,1,0,0,50,United-States,0,1
43,Self-emp,292175,14,0,Exec-managerial,Unmarried,4,0,0,0,45,United-States,1,5
40,Private,193524,16,1,Prof-specialty,Husband,4,1,0,0,60,United-States,1,5
54,Private,302146,9,0,Other-service,Unmarried,2,0,0,0,20,United-States,0,2
35,Public-sector,76845,5,1,Farming-fishing,Husband,2,1,0,0,40,United-States,0,1
43,Private,117037,7,1,Transport-moving,Husband,4,1,0,2042,40,United-States,0,1
59,Private,109015,9,0,Tech-support,Unmarried,4,0,0,0,40,United-States,0,2
56,Public-sector,216851,13,1,Tech-support,Husband,4,1,0,0,40,United-States,1,4
19,Private,168294,9,0,Craft-repair,Own-child,4,1,0,0,40,United-States,0,2
54,?,180211,10,1,?,Husband,1,1,0,0,60,South,1,3
39,Private,367260,9,0,Exec-managerial,Not-in-family,4,1,0,0,80,United-States,0,2
49,Private,193366,9,1,Craft-repair,Husband,4,1,0,0,40,United-States,0,2
23,Public-sector,190709,12,0,Protective-serv,Not-in-family,4,1,0,0,52,United-States,0,3
20,Private,266015,10,0,Sales,Own-child,2,1,0,0,44,United-States,0,3
45,Private,386940,13,0,Exec-managerial,Own-child,4,1,0,1408,40,United-States,0,4
30,Public-sector,59951,10,1,Adm-clerical,Own-child,4,1,0,0,40,United-States,0,3
22,Public-sector,311512,10,1,Other-service,Husband,2,1,0,0,15,United-States,0,3
48,Private,242406,7,0,Machine-op-inspct,Unmarried,4,1,0,0,40,Puerto-Rico,0,1
21,Private,197200,10,0,Machine-op-inspct,Own-child,4,1,0,0,40,United-States,0,3
19,Private,544091,9,1,Adm-clerical,Wife,4,0,0,0,25,United-States,0,2
31,Private,84154,10,1,Sales,Husband,4,1,0,0,38,?,1,3
48,Self-emp,265477,12,1,Prof-specialty,Husband,4,1,0,0,40,United-States,0,3
31,Private,507875,5,1,Machine-op-inspct,Husband,4,1,0,0,43,United-States,0,1
53,Self-emp,88506,13,1,Prof-specialty,Husband,4,1,0,0,40,United-States,0,4
24,Private,172987,13,1,Tech-support,Husband,4,1,0,0,50,United-States,0,4
49,Private,94638,9,0,Adm-clerical,Unmarried,4,0,0,0,40,United-States,0,2
25,Private,289980,9,0,Handlers-cleaners,Not-in-family,4,1,0,0,35,United-States,0,2
57,Public-sector,337895,13,1,Prof-specialty,Husband,2,1,0,0,40,United-States,1,4
53,Private,144361,9,1,Machine-op-inspct,Husband,4,1,0,0,38,United-States,0,2
44,Private,128354,14,0,Exec-managerial,Unmarried,4,0,0,0,40,United-States,0,5
41,Public-sector,101603,11,1,Craft-repair,Husband,4,1,0,0,40,United-States,0,3
29,Private,271466,11,0,Prof-specialty,Not-in-family,4,1,0,0,43,United-States,0,3
25,Private,32275,10,1,Exec-managerial,Wife,3,0,0,0,40,United-States,0,3
18,Private,226956,9,0,Other-service,Own-child,4,0,0,0,30,?,0,2
47,Private,51835,15,1,Prof-specialty,Wife,4,0,0,1902,60,Honduras,1,5
50,Public-sector,251585,13,0,Exec-managerial,Not-in-family,4,1,0,0,55,United-States,1,4
47,Self-emp,109832,9,0,Exec-managerial,Not-in-family,4,1,0,0,60,United-States,0,2
43,Private,237993,10,1,Tech-support,Husband,4,1,0,0,40,United-States,1,3
46,Private,216666,3,1,Machine-op-inspct,Husband,4,1,0,0,40,Mexico,0,1
35,Private,56352,11,1,Other-service,Husband,4,1,0,0,40,Puerto-Rico,0,3
41,Private,147372,9,1,Adm-clerical,Husband,4,1,0,0,48,United-States,0,2
30,Private,188146,9,1,Machine-op-inspct,Husband,4,1,5013,0,40,United-States,0,2
30,Private,59496,13,1,Sales,Husband,4,1,2407,0,40,United-States,0,4
32,?,293936,4,1,?,Not-in-family,4,1,0,0,40,?,0,1
48,Private,149640,9,1,Transport-moving,Husband,4,1,0,0,40,United-States,0,2
42,Private,116632,16,1,Prof-specialty,Husband,4,1,0,0,45,United-States,1,5
29,Private,105598,10,0,Tech-support,Not-in-family,4,1,0,0,58,United-States,0,3
36,Private,155537,9,1,Craft-repair,Husband,4,1,0,0,40,United-States,0,2
28,Private,183175,10,0,Adm-clerical,Not-in-family,4,0,0,0,40,United-States,0,3
53,Private,169846,9,1,Adm-clerical,Wife,4,0,0,0,40,United-States,1,2
49,Self-emp,191681,10,1,Exec-managerial,Husband,4,1,0,0,50,United-States,1,3
25,?,200681,10,0,?,Own-child,4,1,0,0,40,United-States,0,3
19,Private,101509,10,0,Prof-specialty,Own-child,4,1,0,0,32,United-States,0,3
31,Private,309974,13,0,Sales,Own-child,2,0,0,0,40,United-States,0,4
29,Self-emp,162298,13,1,Sales,Husband,4,1,0,0,70,United-States,1,4
23,Private,211678,10,0,Machine-op-inspct,Not-in-family,4,1,0,0,40,United-States,0,3
79,Private,124744,10,1,Prof-specialty,Other-relative,4,1,0,0,20,United-States,0,3
27,Private,213921,9,0,Other-service,Own-child,4,1,0,0,40,Mexico,0,2
40,Private,32214,12,1,Adm-clerical,Husband,4,1,0,0,40,United-States,0,3
67,?,212759,6,1,?,Husband,4,1,0,0,2,United-States,0,1
18,Private,309634,7,0,Other-service,Own-child,4,0,0,0,22,United-States,0,1
31,Public-sector,125927,4,1,Farming-fishing,Husband,4,1,0,0,40,United-States,0,1
18,Private,446839,9,0,Sales,Not-in-family,4,1,0,0,30,United-States,0,2
52,Private,276515,13,1,Other-service,Husband,4,1,0,0,40,Cuba,0,4
46,Private,51618,9,1,Other-service,Wife,4,0,0,0,40,United-States,0,2
59,Private,159937,9,1,Sales,Husband,4,1,0,0,48,United-States,0,2
44,Private,343591,9,0,Craft-repair,Not-in-family,4,0,14344,0,40,United-States,1,2
53,Private,346253,9,0,Sales,Own-child,4,0,0,0,35,United-States,0,2
49,Public-sector,268234,9,1,Protective-serv,Husband,4,1,0,0,40,United-States,1,2
33,Private,202051,14,1,Prof-specialty,Husband,4,1,0,0,50,United-States,0,5
30,Private,54334,5,0,Sales,Not-in-family,4,1,0,0,40,United-States,0,1
43,Public-sector,410867,16,0,Prof-specialty,Not-in-family,4,0,0,0,50,United-States,1,5
57,Private,249977,11,1,Prof-specialty,Husband,4,1,0,0,40,United-States,0,3
37,Private,286730,10,0,Craft-repair,Unmarried,4,0,0,0,40,United-States,0,3
28,Private,212563,10,0,Machine-op-inspct,Unmarried,2,0,0,0,25,United-States,0,3
30,Private,117747,9,1,Sales,Wife,1,0,0,1573,35,?,0,2
34,Public-sector,226296,13,1,Protective-serv,Husband,4,1,0,0,40,United-States,1,4
29,Public-sector,115585,10,0,Handlers-cleaners,Not-in-family,4,1,0,0,50,United-States,0,3
48,Self-emp,191277,16,1,Prof-specialty,Husband,4,1,0,1902,60,United-States,1,5
37,Private,202683,10,1,Sales,Husband,4,1,0,0,48,United-States,1,3
48,Private,171095,12,0,Exec-managerial,Unmarried,4,0,0,0,40,England,0,3
32,Public-sector,249409,9,0,Other-service,Own-child,2,1,0,0,40,United-States,0,2
76,Private,124191,14,1,Exec-managerial,Husband,4,1,0,0,40,United-States,1,5
44,Private,198282,13,1,Exec-managerial,Husband,4,1,15024,0,60,United-States,1,4
47,Self-emp,149116,14,0,Prof-specialty,Not-in-family,4,0,0,0,50,United-States,0,5
20,Private,188300,10,0,Tech-support,Own-child,4,0,0,0,40,United-States,0,3
29,Private,103432,9,0,Craft-repair,Not-in-family,4,1,0,0,40,United-States,0,2
32,Self-emp,317660,9,1,Craft-repair,Husband,4,1,7688,0,40,United-States,1,2
17,?,304873,6,0,?,Own-child,4,0,34095,0,32,United-States,0,1
30,Private,194901,7,0,Handlers-cleaners,Own-child,4,1,0,0,40,United-States,0,1
31,Public-sector,189265,9,0,Adm-clerical,Not-in-family,4,0,0,0,40,United-States,0,2
42,Private,124692,9,1,Handlers-cleaners,Husband,4,1,0,0,40,United-States,0,2
24,Private,432376,13,0,Sales,Other-relative,4,1,0,0,40,United-States,0,4
38,Private,65324,15,1,Prof-specialty,Husband,4,1,0,0,40,United-States,1,5
56,Self-emp,335605,9,1,Other-service,Husband,4,1,0,1887,50,Canada,1,2
28,Private,377869,10,1,Sales,Wife,4,0,4064,0,25,United-States,0,3
36,Private,102864,9,0,Machine-op-inspct,Own-child,4,0,0,0,40,United-States,0,2
53,Private,95647,5,1,Handlers-cleaners,Husband,4,1,0,0,50,United-States,0,1
56,Self-emp,303090,10,1,Sales,Husband,4,1,0,0,50,United-States,0,3
49,Public-sector,197371,11,1,Craft-repair,Husband,2,1,0,0,40,United-States,1,3
55,Private,247552,10,1,Sales,Husband,4,1,0,0,56,United-States,0,3
22,Private,102632,9,0,Craft-repair,Not-in-family,4,1,0,0,41,United-States,0,2
21,Private,199915,10,0,Other-service,Own-child,4,0,0,0,40,United-States,0,3
40,Private,118853,13,1,Exec-managerial,Husband,4,1,0,0,60,United-States,0,4
30,Private,77143,13,0,Exec-managerial,Own-child,2,1,0,0,40,Germany,0,4
29,Public-sector,267989,13,1,Prof-specialty,Husband,4,1,0,0,50,United-States,1,4
19,Private,301606,10,0,Other-service,Own-child,2,1,0,0,35,United-States,0,3
47,Private,287828,13,1,Exec-managerial,Wife,4,0,0,0,40,United-States,1,4
20,Private,111697,10,0,Adm-clerical,Own-child,4,0,0,1719,28,United-States,0,3
31,Private,114937,12,1,Adm-clerical,Husband,4,1,0,0,40,United-States,1,3
35,?,129305,9,1,?,Husband,4,1,0,0,40,United-States,0,2
39,Private,365739,10,0,Craft-repair,Not-in-family,4,1,0,0,40,United-States,0,3
28,Private,69621,12,0,Sales,Not-in-family,4,0,0,0,60,United-States,0,3
24,Private,43323,9,0,Other-service,Not-in-family,4,0,0,1762,40,United-States,0,2
38,Self-emp,120985,9,1,Craft-repair,Husband,4,1,4386,0,35,United-States,0,2
37,Private,254202,13,1,Sales,Husband,4,1,0,0,50,United-States,0,4
46,Private,146195,12,0,Tech-support,Not-in-family,2,0,0,0,36,United-States,0,3
38,Public-sector,125933,14,1,Prof-specialty,Husband,4,1,0,0,40,Iran,1,5
43,Self-emp,56920,9,1,Craft-repair,Husband,4,1,0,0,60,United-States,0,2
27,Private,163127,11,1,Adm-clerical,Wife,4,0,0,0,35,United-States,0,3
20,Private,34310,10,0,Sales,Own-child,4,1,0,0,20,United-States,0,3
49,Private,81973,10,1,Craft-repair,Husband,1,1,0,0,40,United-States,1,3
61,Self-emp,66614,9,1,Craft-repair,Husband,4,1,0,0,40,United-States,0,2
27,Private,232782,10,0,Sales,Own-child,4,0,0,0,40,United-States,0,3
19,Private,316868,10,0,Other-service,Own-child,4,1,0,0,30,Mexico,0,3
45,Private,196584,11,0,Prof-specialty,Not-in-family,4,0,0,1564,40,United-States,1,3
70,Private,105376,10,0,Tech-support,Other-relative,4,1,0,0,40,United-States,0,3
31,Private,185814,9,0,Transport-moving,Unmarried,2,0,0,0,30,United-States,0,2
