p_id,age,workclass,fnlwgt,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income_lev,education_cat_lev,education_cat
0,39,State-gov,77516,Never-married,Adm-clerical,Not-in-family,White,Male,2174,0,40,United-States,0,4,Bachelor's degree
1,50,Self-emp-not-inc,83311,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,13,United-States,0,4,Bachelor's degree
2,38,Private,215646,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,0,2,HS graduate
3,53,Private,234721,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,United-States,0,1,Less than HS graduate
4,28,Private,338409,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0,0,40,Cuba,0,4,Bachelor's degree
5,37,Private,284582,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,0,5,Graduate or professional degree
6,49,Private,160187,Married-spouse-absent,Other-service,Not-in-family,Black,Female,0,0,16,Jamaica,0,1,Less than HS graduate
7,52,Self-emp-not-inc,209642,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,1,2,HS graduate
8,31,Private,45781,Never-married,Prof-specialty,Not-in-family,White,Female,14084,0,50,United-States,1,5,Graduate or professional degree
9,42,Private,159449,Married-civ-spouse,Exec-managerial,Husband,White,Male,5178,0,40,United-States,1,4,Bachelor's degree
10,37,Private,280464,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,80,United-States,1,3,Some college or associate's degree
11,30,State-gov,141297,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,India,1,4,Bachelor's degree
12,23,Private,122272,Never-married,Adm-clerical,Own-child,White,Female,0,0,30,United-States,0,4,Bachelor's degree
13,32,Private,205019,Never-married,Sales,Not-in-family,Black,Male,0,0,50,United-States,0,3,Some college or associate's degree
14,40,Private,121772,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,?,1,3,Some college or associate's degree
15,34,Private,245487,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0,45,Mexico,0,1,Less than HS graduate
16,25,Self-emp-not-inc,176756,Never-married,Farming-fishing,Own-child,White,Male,0,0,35,United-States,0,2,HS graduate
17,32,Private,186824,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,40,United-States,0,2,HS graduate
18,38,Private,28887,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,0,1,Less than HS graduate
19,43,Self-emp-not-inc,292175,Divorced,Exec-managerial,Unmarried,White,Female,0,0,45,United-States,1,5,Graduate or professional degree
20,40,Private,193524,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,1,5,Graduate or professional degree
21,54,Private,302146,Separated,Other-service,Unmarried,Black,Female,0,0,20,United-States,0,2,HS graduate
22,35,Federal-gov,76845,Married-civ-spouse,Farming-fishing,Husband,Black,Male,0,0,40,United-States,0,1,Less than HS graduate
23,43,Private,117037,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2042,40,United-States,0,1,Less than HS graduate
24,59,Private,109015,Divorced,Tech-support,Unmarried,White,Female,0,0,40,United-States,0,2,HS graduate
25,56,Local-gov,216851,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,1,4,Bachelor's degree
26,19,Private,168294,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,0,2,HS graduate
27,54,?,180211,Married-civ-spouse,?,Husband,Asian-Pac-Islander,Male,0,0,60,South,1,3,Some college or associate's degree
28,39,Private,367260,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,80,United-States,0,2,HS graduate
29,49,Private,193366,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0,2,HS graduate
30,23,Local-gov,190709,Never-married,Protective-serv,Not-in-family,White,Male,0,0,52,United-States,0,3,Some college or associate's degree
31,20,Private,266015,Never-married,Sales,Own-child,Black,Male,0,0,44,United-States,0,3,Some college or associate's degree
32,45,Private,386940,Divorced,Exec-managerial,Own-child,White,Male,0,1408,40,United-States,0,4,Bachelor's degree
33,30,Federal-gov,59951,Married-civ-spouse,Adm-clerical,Own-child,White,Male,0,0,40,United-States,0,3,Some college or associate's degree
34,22,State-gov,311512,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,15,United-States,0,3,Some college or associate's degree
35,48,Private,242406,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,40,Puerto-Rico,0,1,Less than HS graduate
36,21,Private,197200,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,0,3,Some college or associate's degree
37,19,Private,544091,Married-AF-spouse,Adm-clerical,Wife,White,Female,0,0,25,United-States,0,2,HS graduate
38,31,Private,84154,Married-civ-spouse,Sales,Husband,White,Male,0,0,38,?,1,3,Some college or associate's degree
39,48,Self-emp-not-inc,265477,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,0,3,Some college or associate's degree
40,31,Private,507875,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,43,United-States,0,1,Less than HS graduate
41,53,Self-emp-not-inc,88506,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,0,4,Bachelor's degree
42,24,Private,172987,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,50,United-States,0,4,Bachelor's degree
43,49,Private,94638,Separated,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,0,2,HS graduate
44,25,Private,289980,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,35,United-States,0,2,HS graduate
45,57,Federal-gov,337895,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,40,United-States,1,4,Bachelor's degree
46,53,Private,144361,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,38,United-States,0,2,HS graduate
47,44,Private,128354,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,0,5,Graduate or professional degree
48,41,State-gov,101603,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0,3,Some college or associate's degree
49,29,Private,271466,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,43,United-States,0,3,Some college or associate's degree
50,25,Private,32275,Married-civ-spouse,Exec-managerial,Wife,Other,Female,0,0,40,United-States,0,3,Some college or associate's degree
51,18,Private,226956,Never-married,Other-service,Own-child,White,Female,0,0,30,?,0,2,HS graduate
52,47,Private,51835,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1902,60,Honduras,1,5,Graduate or professional degree
53,50,Federal-gov,251585,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,55,United-States,1,4,Bachelor's degree
54,47,Self-emp-inc,109832,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,60,United-States,0,2,HS graduate
55,43,Private,237993,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,1,3,Some college or associate's degree
56,46,Private,216666,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico,0,1,Less than HS graduate
57,35,Private,56352,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,Puerto-Rico,0,3,Some college or associate's degree
58,41,Private,147372,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,48,United-States,0,2,HS graduate
59,30,Private,188146,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,5013,0,40,United-States,0,2,HS graduate
60,30,Private,59496,Married-civ-spouse,Sales,Husband,White,Male,2407,0,40,United-States,0,4,Bachelor's degree
61,32,?,293936,Married-spouse-absent,?,Not-in-family,White,Male,0,0,40,?,0,1,Less than HS graduate
62,48,Private,149640,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,0,2,HS graduate
63,42,Private,116632,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,1,5,Graduate or professional degree
64,29,Private,105598,Divorced,Tech-support,Not-in-family,White,Male,0,0,58,United-States,0,3,Some college or associate's degree
65,36,Private,155537,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0,2,HS graduate
66,28,Private,183175,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0,3,Some college or associate's degree
67,53,Private,169846,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,1,2,HS graduate
68,49,Self-emp-inc,191681,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,1,3,Some college or associate's degree
69,25,?,200681,Never-married,?,Own-child,White,Male,0,0,40,United-States,0,3,Some college or associate's degree
70,19,Private,101509,Never-married,Prof-specialty,Own-child,White,Male,0,0,32,United-States,0,3,Some college or associate's degree
71,31,Private,309974,Separated,Sales,Own-child,Black,Female,0,0,40,United-States,0,4,Bachelor's degree
72,29,Self-emp-not-inc,162298,Married-civ-spouse,Sales,Husband,White,Male,0,0,70,United-States,1,4,Bachelor's degree
73,23,Private,211678,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,0,3,Some college or associate's degree
74,79,Private,124744,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,0,0,20,United-States,0,3,Some college or associate's degree
75,27,Private,213921,Never-married,Other-service,Own-child,White,Male,0,0,40,Mexico,0,2,HS graduate
76,40,Private,32214,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,0,3,Some college or associate's degree
77,67,?,212759,Married-civ-spouse,?,Husband,White,Male,0,0,2,United-States,0,1,Less than HS graduate
