p_id,age,workclass,fnlwgt,education,education_num,education_cat_lev,education_cat,marital_status,occupation,relationship,capital_gain,capital_loss,hours_per_week,native_country,income,income_lev,race_Amer-Indian-Eskimo,race_Asian-Pac-Islander,race_Black,race_Other,sex_Male
0,39,Public-sector,77516,Bachelors,13,4,Bachelor's degree,0,Adm-clerical,Not-in-family,2174,0,40,United-States,<=50K,0,0,0,0,0,1
1,50,Self-emp,83311,Bachelors,13,4,Bachelor's degree,1,Exec-managerial,Husband,0,0,13,United-States,<=50K,0,0,0,0,0,1
2,38,Private,215646,HS-grad,9,2,HS graduate,0,Handlers-cleaners,Not-in-family,0,0,40,United-States,<=50K,0,0,0,0,0,1
3,53,Private,234721,11th,7,1,Less than HS graduate,1,Handlers-cleaners,Husband,0,0,40,United-States,<=50K,0,0,0,1,0,1
4,28,Private,338409,Bachelors,13,4,Bachelor's degree,1,Prof-specialty,Wife,0,0,40,Cuba,<=50K,0,0,0,1,0,0
5,37,Private,284582,Masters,14,5,Graduate or professional degree,1,Exec-managerial,Wife,0,0,40,United-States,<=50K,0,0,0,0,0,0
6,49,Private,160187,9th,5,1,Less than HS graduate,1,Other-service,Not-in-family,0,0,16,Jamaica,<=50K,0,0,0,1,0,0
7,52,Self-emp,209642,HS-grad,9,2,HS graduate,1,Exec-managerial,Husband,0,0,45,United-States,>50K,1,0,0,0,0,1
8,31,Private,45781,Masters,14,5,Graduate or professional degree,0,Prof-specialty,Not-in-family,14084,0,50,United-States,>50K,1,0,0,0,0,0
9,42,Private,159449,Bachelors,13,4,Bachelor's degree,1,Exec-managerial,Husband,5178,0,40,United-States,>50K,1,0,0,0,0,1
10,37,Private,280464,Some-college,10,3,Some college or associate's degree,1,Exec-managerial,Husband,0,0,80,United-States,>50K,1,0,0,1,0,1
11,30,Public-sector,141297,Bachelors,13,4,Bachelor's degree,1,Prof-specialty,Husband,0,0,40,India,>50K,1,0,1,0,0,1
12,23,Private,122272,Bachelors,13,4,Bachelor's degree,0,Adm-clerical,Own-child,0,0,30,United-States,<=50K,0,0,0,0,0,0
13,32,Private,205019,Assoc-acdm,12,3,Some college or associate's degree,0,Sales,Not-in-family,0,0,50,United-States,<=50K,0,0,0,1,0,1
14,40,Private,121772,Assoc-voc,11,3,Some college or associate's degree,1,Craft-repair,Husband,0,0,40,?,>50K,1,0,1,0,0,1
15,34,Private,245487,7th-8th,4,1,Less than HS graduate,1,Transport-moving,Husband,0,0,45,Mexico,<=50K,0,1,0,0,0,1
16,25,Self-emp,176756,HS-grad,9,2,HS graduate,0,Farming-fishing,Own-child,0,0,35,United-States,<=50K,0,0,0,0,0,1
17,32,Private,186824,HS-grad,9,2,HS graduate,0,Machine-op-inspct,Unmarried,0,0,40,United-States,<=50K,0,0,0,0,0,1
18,38,Private,28887,11th,7,1,Less than HS graduate,1,Sales,Husband,0,0,50,United-States,<=50K,0,0,0,0,0,1
19,43,Self-emp,292175,Masters,14,5,Graduate or professional degree,0,Exec-managerial,Unmarried,0,0,45,United-States,>50K,1,0,0,0,0,0
20,40,Private,193524,Doctorate,16,5,Graduate or professional degree,1,Prof-specialty,Husband,0,0,60,United-States,>50K,1,0,0,0,0,1
21,54,Private,302146,HS-grad,9,2,HS graduate,0,Other-service,Unmarried,0,0,20,United-States,<=50K,0,0,0,1,0,0
22,35,Public-sector,76845,9th,5,1,Less than HS graduate,1,Farming-fishing,Husband,0,0,40,United-States,<=50K,0,0,0,1,0,1
23,43,Private,117037,11th,7,1,Less than HS graduate,1,Transport-moving,Husband,0,2042,40,United-States,<=50K,0,0,0,0,0,1
24,59,Private,109015,HS-grad,9,2,HS graduate,0,Tech-support,Unmarried,0,0,40,United-States,<=50K,0,0,0,0,0,0
25,56,Public-sector,216851,Bachelors,13,4,Bachelor's degree,1,Tech-support,Husband,0,0,40,United-States,>50K,1,0,0,0,0,1
26,19,Private,168294,HS-grad,9,2,HS graduate,0,Craft-repair,Own-child,0,0,40,United-States,<=50K,0,0,0,0,0,1
27,54,?,180211,Some-college,10,3,Some college or associate's degree,1,?,Husband,0,0,60,South,>50K,1,0,1,0,0,1
28,39,Private,367260,HS-grad,9,2,HS graduate,0,Exec-managerial,Not-in-family,0,0,80,United-States,<=50K,0,0,0,0,0,1
29,49,Private,193366,HS-grad,9,2,HS graduate,1,Craft-repair,Husband,0,0,40,United-States,<=50K,0,0,0,0,0,1
30,23,Public-sector,190709,Assoc-acdm,12,3,Some college or associate's degree,0,Protective-serv,Not-in-family,0,0,52,United-States,<=50K,0,0,0,0,0,1
31,20,Private,266015,Some-college,10,3,Some college or associate's degree,0,Sales,Own-child,0,0,44,United-States,<=50K,0,0,0,1,0,1
32,45,Private,386940,Bachelors,13,4,Bachelor's degree,0,Exec-managerial,Own-child,0,1408,40,United-States,<=50K,0,0,0,0,0,1
33,30,Public-sector,59951,Some-college,10,3,Some college or associate's degree,1,Adm-clerical,Own-child,0,0,40,United-States,<=50K,0,0,0,0,0,1
34,22,Public-sector,311512,Some-college,10,3,Some college or associate's degree,1,Other-service,Husband,0,0,15,United-States,<=50K,0,0,0,1,0,1
35,48,Private,242406,11th,7,1,Less than HS graduate,0,Machine-op-inspct,Unmarried,0,0,40,Puerto-Rico,<=50K,0,0,0,0,0,1
36,21,Private,197200,Some-college,10,3,Some college or associate's degree,0,Machine-op-inspct,Own-child,0,0,40,United-States,<=50K,0,0,0,0,0,1
37,19,Private,544091,HS-grad,9,2,HS graduate,1,Adm-clerical,Wife,0,0,25,United-States,<=50K,0,0,0,0,0,0
38,31,Private,84154,Some-college,10,3,Some college or associate's degree,1,Sales,Husband,0,0,38,?,>50K,1,0,0,0,0,1
39,48,Self-emp,265477,Assoc-acdm,12,3,Some college or associate's degree,1,Prof-specialty,Husband,0,0,40,United-States,<=50K,0,0,0,0,0,1
40,31,Private,507875,9th,5,1,Less than HS graduate,1,Machine-op-inspct,Husband,0,0,43,United-States,<=50K,0,0,0,0,0,1
41,53,Self-emp,88506,Bachelors,13,4,Bachelor's degree,1,Prof-specialty,Husband,0,0,40,United-States,<=50K,0,0,0,0,0,1
42,24,Private,172987,Bachelors,13,4,Bachelor's degree,1,Tech-support,Husband,0,0,50,United-States,<=50K,0,0,0,0,0,1
43,49,Private,94638,HS-grad,9,2,HS graduate,0,Adm-clerical,Unmarried,0,0,40,United-States,<=50K,0,0,0,0,0,0
44,25,Private,289980,HS-grad,9,2,HS graduate,0,Handlers-cleaners,Not-in-family,0,0,35,United-States,<=50K,0,0,0,0,0,1
45,57,Public-sector,337895,Bachelors,13,4,Bachelor's degree,1,Prof-specialty,Husband,0,0,40,United-States,>50K,1,0,0,1,0,1
46,53,Private,144361,HS-grad,9,2,HS graduate,1,Machine-op-inspct,Husband,0,0,38,United-States,<=50K,0,0,0,0,0,1
47,44,Private,128354,Masters,14,5,Graduate or professional degree,0,Exec-managerial,Unmarried,0,0,40,United-States,<=50K,0,0,0,0,0,0
48,41,Public-sector,101603,Assoc-voc,11,3,Some college or associate's degree,1,Craft-repair,Husband,0,0,40,United-States,<=50K,0,0,0,0,0,1
49,29,Private,271466,Assoc-voc,11,3,Some college or associate's degree,0,Prof-specialty,Not-in-family,0,0,43,United-States,<=50K,0,0,0,0,0,1
50,25,Private,32275,Some-college,10,3,Some college or associate's degree,1,Exec-managerial,Wife,0,0,40,United-States,<=50K,0,0,0,0,1,0
51,18,Private,226956,HS-grad,9,2,HS graduate,0,Other-service,Own-child,0,0,30,?,<=50K,0,0,0,0,0,0
52,47,Private,51835,Prof-school,15,5,Graduate or professional degree,1,Prof-specialty,Wife,0,1902,60,Honduras,>50K,1,0,0,0,0,0
53,50,Public-sector,251585,Bachelors,13,4,Bachelor's degree,0,Exec-managerial,Not-in-family,0,0,55,United-States,>50K,1,0,0,0,0,1
54,47,Self-emp,109832,HS-grad,9,2,HS graduate,0,Exec-managerial,Not-in-family,0,0,60,United-States,<=50K,0,0,0,0,0,1
55,43,Private,237993,Some-college,10,3,Some college or associate's degree,1,Tech-support,Husband,0,0,40,United-States,>50K,1,0,0,0,0,1
56,46,Private,216666,5th-6th,3,1,Less than HS graduate,1,Machine-op-inspct,Husband,0,0,40,Mexico,<=50K,0,0,0,0,0,1
57,35,Private,56352,Assoc-voc,11,3,Some college or associate's degree,1,Other-service,Husband,0,0,40,Puerto-Rico,<=50K,0,0,0,0,0,1
58,41,Private,147372,HS-grad,9,2,HS graduate,1,Adm-clerical,Husband,0,0,48,United-States,<=50K,0,0,0,0,0,1
59,30,Private,188146,HS-grad,9,2,HS graduate,1,Machine-op-inspct,Husband,5013,0,40,United-States,<=50K,0,0,0,0,0,1
60,30,Private,59496,Bachelors,13,4,Bachelor's degree,1,Sales,Husband,2407,0,40,United-States,<=50K,0,0,0,0,0,1
61,32,?,293936,7th-8th,4,1,Less than HS graduate,1,?,Not-in-family,0,0,40,?,<=50K,0,0,0,0,0,1
62,48,Private,149640,HS-grad,9,2,HS graduate,1,Transport-moving,Husband,0,0,40,United-States,<=50K,0,0,0,0,0,1
63,42,Private,116632,Doctorate,16,5,Graduate or professional degree,1,Prof-specialty,Husband,0,0,45,United-States,>50K,1,0,0,0,0,1
64,29,Private,105598,Some-college,10,3,Some college or associate's degree,0,Tech-support,Not-in-family,0,0,58,United-States,<=50K,0,0,0,0,0,1
65,36,Private,155537,HS-grad,9,2,HS graduate,1,Craft-repair,Husband,0,0,40,United-States,<=50K,0,0,0,0,0,1
66,28,Private,183175,Some-college,10,3,Some college or associate's degree,0,Adm-clerical,Not-in-family,0,0,40,United-States,<=50K,0,0,0,0,0,0
67,53,Private,169846,HS-grad,9,2,HS graduate,1,Adm-clerical,Wife,0,0,40,United-States,>50K,1,0,0,0,0,0
68,49,Self-emp,191681,Some-college,10,3,Some college or associate's degree,1,Exec-managerial,Husband,0,0,50,United-States,>50K,1,0,0,0,0,1
69,25,?,200681,Some-college,10,3,Some college or associate's degree,0,?,Own-child,0,0,40,United-States,<=50K,0,0,0,0,0,1
70,19,Private,101509,Some-college,10,3,Some college or associate's degree,0,Prof-specialty,Own-child,0,0,32,United-States,<=50K,0,0,0,0,0,1
71,31,Private,309974,Bachelors,13,4,Bachelor's degree,0,Sales,Own-child,0,0,40,United-States,<=50K,0,0,0,1,0,0
72,29,Self-emp,162298,Bachelors,13,4,Bachelor's degree,1,Sales,Husband,0,0,70,United-States,>50K,1,0,0,0,0,1
73,23,Private,211678,Some-college,10,3,Some college or associate's degree,0,Machine-op-inspct,Not-in-family,0,0,40,United-States,<=50K,0,0,0,0,0,1
74,79,Private,124744,Some-college,10,3,Some college or associate's degree,1,Prof-specialty,Other-relative,0,0,20,United-States,<=50K,0,0,0,0,0,1
75,27,Private,213921,HS-grad,9,2,HS graduate,0,Other-service,Own-child,0,0,40,Mexico,<=50K,0,0,0,0,0,1
76,40,Private,32214,Assoc-acdm,12,3,Some college or associate's degree,1,Adm-clerical,Husband,0,0,40,United-States,<=50K,0,0,0,0,0,1
77,67,?,212759,10th,6,1,Less than HS graduate,1,?,Husband,0,0,2,United-States,<=50K,0,0,0,0,0,1
78,18,Private,309634,11th,7,1,Less than HS graduate,0,Other-service,Own-child,0,0,22,United-States,<=50K,0,0,0,0,0,0
79,31,Public-sector,125927,7th-8th,4,1,Less than HS graduate,1,Farming-fishing,Husband,0,0,40,United-States,<=50K,0,0,0,0,0,1
80,18,Private,446839,HS-grad,9,2,HS graduate,0,Sales,Not-in-family,0,0,30,United-States,<=50K,0,0,0,0,0,1
81,52,Private,276515,Bachelors,13,4,Bachelor's degree,1,Other-service,Husband,0,0,40,Cuba,<=50K,0,0,0,0,0,1
82,46,Private,51618,HS-grad,9,2,HS graduate,1,Other-service,Wife,0,0,40,United-States,<=50K,0,0,0,0,0,0
83,59,Private,159937,HS-grad,9,2,HS graduate,1,Sales,Husband,0,0,48,United-States,<=50K,0,0,0,0,0,1
84,44,Private,343591,HS-grad,9,2,HS graduate,0,Craft-repair,Not-in-family,14344,0,40,United-States,>50K,1,0,0,0,0,0
85,53,Private,346253,HS-grad,9,2,HS graduate,0,Sales,Own-child,0,0,35,United-States,<=50K,0,0,0,0,0,0
86,49,Public-sector,268234,HS-grad,9,2,HS graduate,1,Protective-serv,Husband,0,0,40,United-States,>50K,1,0,0,0,0,1
87,33,Private,202051,Masters,14,5,Graduate or professional degree,1,Prof-specialty,Husband,0,0,50,United-States,<=50K,0,0,0,0,0,1
88,30,Private,54334,9th,5,1,Less than HS graduate,0,Sales,Not-in-family,0,0,40,United-States,<=50K,0,0,0,0,0,1
89,43,Public-sector,410867,Doctorate,16,5,Graduate or professional degree,0,Prof-specialty,Not-in-family,0,0,50,United-States,>50K,1,0,0,0,0,0
90,57,Private,249977,Assoc-voc,11,3,Some college or associate's degree,1,Prof-specialty,Husband,0,0,40,United-States,<=50K,0,0,0,0,0,1
91,37,Private,286730,Some-college,10,3,Some college or associate's degree,0,Craft-repair,Unmarried,0,0,40,United-States,<=50K,0,0,0,0,0,0
92,28,Private,212563,Some-college,10,3,Some college or associate's degree,0,Machine-op-inspct,Unmarried,0,0,25,United-States,<=50K,0,0,0,1,0,0
93,30,Private,117747,HS-grad,9,2,HS graduate,1,Sales,Wife,0,1573,35,?,<=50K,0,0,1,0,0,0
94,34,Public-sector,226296,Bachelors,13,4,Bachelor's degree,1,Protective-serv,Husband,0,0,40,United-States,>50K,1,0,0,0,0,1
95,29,Public-sector,115585,Some-college,10,3,Some college or associate's degree,0,Handlers-cleaners,Not-in-family,0,0,50,United-States,<=50K,0,0,0,0,0,1
96,48,Self-emp,191277,Doctorate,16,5,Graduate or professional degree,1,Prof-specialty,Husband,0,1902,60,United-States,>50K,1,0,0,0,0,1
97,37,Private,202683,Some-college,10,3,Some college or associate's degree,1,Sales,Husband,0,0,48,United-States,>50K,1,0,0,0,0,1
98,48,Private,171095,Assoc-acdm,12,3,Some college or associate's degree,0,Exec-managerial,Unmarried,0,0,40,England,<=50K,0,0,0,0,0,0
99,32,Public-sector,249409,HS-grad,9,2,HS graduate,0,Other-service,Own-child,0,0,40,United-States,<=50K,0,0,0,1,0,1
100,76,Private,124191,Masters,14,5,Graduate or professional degree,1,Exec-managerial,Husband,0,0,40,United-States,>50K,1,0,0,0,0,1
101,44,Private,198282,Bachelors,13,4,Bachelor's degree,1,Exec-managerial,Husband,15024,0,60,United-States,>50K,1,0,0,0,0,1
102,47,Self-emp,149116,Masters,14,5,Graduate or professional degree,0,Prof-specialty,Not-in-family,0,0,50,United-States,<=50K,0,0,0,0,0,0
103,20,Private,188300,Some-college,10,3,Some college or associate's degree,0,Tech-support,Own-child,0,0,40,United-States,<=50K,0,0,0,0,0,0
104,29,Private,103432,HS-grad,9,2,HS graduate,0,Craft-repair,Not-in-family,0,0,40,United-States,<=50K,0,0,0,0,0,1
105,32,Self-emp,317660,HS-grad,9,2,HS graduate,1,Craft-repair,Husband,7688,0,40,United-States,>50K,1,0,0,0,0,1
106,17,?,304873,10th,6,1,Less than HS graduate,0,?,Own-child,34095,0,32,United-States,<=50K,0,0,0,0,0,0
107,30,Private,194901,11th,7,1,Less than HS graduate,0,Handlers-cleaners,Own-child,0,0,40,United-States,<=50K,0,0,0,0,0,1
108,31,Public-sector,189265,HS-grad,9,2,HS graduate,0,Adm-clerical,Not-in-family,0,0,40,United-States,<=50K,0,0,0,0,0,0
109,42,Private,124692,HS-grad,9,2,HS graduate,1,Handlers-cleaners,Husband,0,0,40,United-States,<=50K,0,0,0,0,0,1
110,24,Private,432376,Bachelors,13,4,Bachelor's degree,0,Sales,Other-relative,0,0,40,United-States,<=50K,0,0,0,0,0,1
111,38,Private,65324,Prof-school,15,5,Graduate or professional degree,1,Prof-specialty,Husband,0,0,40,United-States,>50K,1,0,0,0,0,1
112,56,Self-emp,335605,HS-grad,9,2,HS graduate,1,Other-service,Husband,0,1887,50,Canada,>50K,1,0,0,0,0,1
113,28,Private,377869,Some-college,10,3,Some college or associate's degree,1,Sales,Wife,4064,0,25,United-States,<=50K,0,0,0,0,0,0
114,36,Private,102864,HS-grad,9,2,HS graduate,0,Machine-op-inspct,Own-child,0,0,40,United-States,<=50K,0,0,0,0,0,0
115,53,Private,95647,9th,5,1,Less than HS graduate,1,Handlers-cleaners,Husband,0,0,50,United-States,<=50K,0,0,0,0,0,1
116,56,Self-emp,303090,Some-college,10,3,Some college or associate's degree,1,Sales,Husband,0,0,50,United-States,<=50K,0,0,0,0,0,1
117,49,Public-sector,197371,Assoc-voc,11,3,Some college or associate's degree,1,Craft-repair,Husband,0,0,40,United-States,>50K,1,0,0,1,0,1
118,55,Private,247552,Some-college,10,3,Some college or associate's degree,1,Sales,Husband,0,0,56,United-States,<=50K,0,0,0,0,0,1
119,22,Private,102632,HS-grad,9,2,HS graduate,0,Craft-repair,Not-in-family,0,0,41,United-States,<=50K,0,0,0,0,0,1
120,21,Private,199915,Some-college,10,3,Some college or associate's degree,0,Other-service,Own-child,0,0,40,United-States,<=50K,0,0,0,0,0,0
121,40,Private,118853,Bachelors,13,4,Bachelor's degree,1,Exec-managerial,Husband,0,0,60,United-States,<=50K,0,0,0,0,0,1
122,30,Private,77143,Bachelors,13,4,Bachelor's degree,0,Exec-managerial,Own-child,0,0,40,Germany,<=50K,0,0,0,1,0,1
123,29,Public-sector,267989,Bachelors,13,4,Bachelor's degree,1,Prof-specialty,Husband,0,0,50,United-States,>50K,1,0,0,0,0,1
124,19,Private,301606,Some-college,10,3,Some college or associate's degree,0,Other-service,Own-child,0,0,35,United-States,<=50K,0,0,0,1,0,1
125,47,Private,287828,Bachelors,13,4,Bachelor's degree,1,Exec-managerial,Wife,0,0,40,United-States,>50K,1,0,0,0,0,0
126,20,Private,111697,Some-college,10,3,Some college or associate's degree,0,Adm-clerical,Own-child,0,1719,28,United-States,<=50K,0,0,0,0,0,0
127,31,Private,114937,Assoc-acdm,12,3,Some college or associate's degree,1,Adm-clerical,Husband,0,0,40,United-States,>50K,1,0,0,0,0,1
128,35,?,129305,HS-grad,9,2,HS graduate,1,?,Husband,0,0,40,United-States,<=50K,0,0,0,0,0,1
129,39,Private,365739,Some-college,10,3,Some college or associate's degree,0,Craft-repair,Not-in-family,0,0,40,United-States,<=50K,0,0,0,0,0,1
130,28,Private,69621,Assoc-acdm,12,3,Some college or associate's degree,0,Sales,Not-in-family,0,0,60,United-States,<=50K,0,0,0,0,0,0
131,24,Private,43323,HS-grad,9,2,HS graduate,0,Other-service,Not-in-family,0,1762,40,United-States,<=50K,0,0,0,0,0,0
132,38,Self-emp,120985,HS-grad,9,2,HS graduate,1,Craft-repair,Husband,4386,0,35,United-States,<=50K,0,0,0,0,0,1
133,37,Private,254202,Bachelors,13,4,Bachelor's degree,1,Sales,Husband,0,0,50,United-States,<=50K,0,0,0,0,0,1
134,46,Private,146195,Assoc-acdm,12,3,Some college or associate's degree,0,Tech-support,Not-in-family,0,0,36,United-States,<=50K,0,0,0,1,0,0
135,38,Public-sector,125933,Masters,14,5,Graduate or professional degree,1,Prof-specialty,Husband,0,0,40,Iran,>50K,1,0,0,0,0,1
136,43,Self-emp,56920,HS-grad,9,2,HS graduate,1,Craft-repair,Husband,0,0,60,United-States,<=50K,0,0,0,0,0,1
137,27,Private,163127,Assoc-voc,11,3,Some college or associate's degree,1,Adm-clerical,Wife,0,0,35,United-States,<=50K,0,0,0,0,0,0
138,20,Private,34310,Some-college,10,3,Some college or associate's degree,0,Sales,Own-child,0,0,20,United-States,<=50K,0,0,0,0,0,1
139,49,Private,81973,Some-college,10,3,Some college or associate's degree,1,Craft-repair,Husband,0,0,40,United-States,>50K,1,0,1,0,0,1
140,61,Self-emp,66614,HS-grad,9,2,HS graduate,1,Craft-repair,Husband,0,0,40,United-States,<=50K,0,0,0,0,0,1
141,27,Private,232782,Some-college,10,3,Some college or associate's degree,0,Sales,Own-child,0,0,40,United-States,<=50K,0,0,0,0,0,0
142,19,Private,316868,Some-college,10,3,Some college or associate's degree,0,Other-service,Own-child,0,0,30,Mexico,<=50K,0,0,0,0,0,1
143,45,Private,196584,Assoc-voc,11,3,Some college or associate's degree,0,Prof-specialty,Not-in-family,0,1564,40,United-States,>50K,1,0,0,0,0,0
144,70,Private,105376,Some-college,10,3,Some college or associate's degree,0,Tech-support,Other-relative,0,0,40,United-States,<=50K,0,0,0,0,0,1
145,31,Private,185814,HS-grad,9,2,HS graduate,0,Transport-moving,Unmarried,0,0,30,United-States,<=50K,0,0,0,1,0,0
146,22,Private,175374,Some-college,10,3,Some college or associate's degree,1,Other-service,Husband,0,0,24,United-States,<=50K,0,0,0,0,0,1
147,36,Private,108293,HS-grad,9,2,HS graduate,0,Other-service,Unmarried,0,0,24,United-States,<=50K,0,0,0,0,0,0
148,64,Private,181232,11th,7,1,Less than HS graduate,1,Craft-repair,Husband,0,2179,40,United-States,<=50K,0,0,0,0,0,1
149,43,?,174662,Some-college,10,3,Some college or associate's degree,0,?,Not-in-family,0,0,40,United-States,<=50K,0,0,0,0,0,0
150,47,Public-sector,186009,Some-college,10,3,Some college or associate's degree,0,Adm-clerical,Unmarried,0,0,38,Mexico,<=50K,0,0,0,0,0,0
151,34,Private,198183,HS-grad,9,2,HS graduate,0,Adm-clerical,Not-in-family,0,0,40,United-States,<=50K,0,0,0,0,0,0
152,33,Private,163003,Bachelors,13,4,Bachelor's degree,0,Exec-managerial,Other-relative,0,0,40,Philippines,<=50K,0,0,1,0,0,0
153,21,Private,296158,HS-grad,9,2,HS graduate,0,Craft-repair,Own-child,0,0,35,United-States,<=50K,0,0,0,0,0,1
154,52,?,252903,HS-grad,9,2,HS graduate,0,?,Not-in-family,0,0,45,United-States,>50K,1,0,0,0,0,1
155,48,Private,187715,HS-grad,9,2,HS graduate,1,Craft-repair,Husband,0,0,46,United-States,<=50K,0,0,0,0,0,1
156,23,Private,214542,Bachelors,13,4,Bachelor's degree,0,Handlers-cleaners,Not-in-family,0,0,40,United-States,<=50K,0,0,0,0,0,1
157,71,Self-emp,494223,Some-college,10,3,Some college or associate's degree,0,Sales,Unmarried,0,1816,2,United-States,<=50K,0,0,0,1,0,1
158,29,Private,191535,HS-grad,9,2,HS graduate,0,Craft-repair,Not-in-family,0,0,60,United-States,<=50K,0,0,0,0,0,1
159,42,Private,228456,Bachelors,13,4,Bachelor's degree,0,Other-service,Other-relative,0,0,50,United-States,<=50K,0,0,0,1,0,1
160,68,?,38317,1st-4th,2,1,Less than HS graduate,0,?,Not-in-family,0,0,20,United-States,<=50K,0,0,0,0,0,0
161,25,Private,252752,HS-grad,9,2,HS graduate,0,Other-service,Unmarried,0,0,40,United-States,<=50K,0,0,0,0,0,0
162,44,Self-emp,78374,Masters,14,5,Graduate or professional degree,0,Exec-managerial,Unmarried,0,0,40,United-States,<=50K,0,0,1,0,0,0
163,28,Private,88419,HS-grad,9,2,HS graduate,0,Exec-managerial,Not-in-family,0,0,40,England,<=50K,0,0,1,0,0,0
164,45,Self-emp,201080,Masters,14,5,Graduate or professional degree,1,Sales,Husband,0,0,40,United-States,>50K,1,0,0,0,0,1
165,36,Private,207157,Some-college,10,3,Some college or associate's degree,0,Other-service,Unmarried,0,0,40,Mexico,<=50K,0,0,0,0,0,0
