country_code,country_name,continent,country_group,country_group_corr,country_main,curr_code
000,,,?,?,,000
001,,,Cambodia,Cambodia,,000
002,,,Canada,Canada,,000
003,,,China,China,,000
004,,,Columbia,Colombia,,000
005,,,Cuba,Cuba,,000
006,,,Dominican-Republic,Dominican-Republic,,000
007,,,Ecuador,Ecuador,,000
008,,,El-Salvador,El-Salvador,,000
009,,,England,England,,000
010,,,France,France,,000
011,,,Germany,Germany,,000
012,,,Greece,Greece,,000
013,,,Guatemala,Guatemala,,000
014,,,Haiti,Haiti,,000
015,,,Holand-Netherlands,Holland-Netherlands,,000
016,,,Honduras,Honduras,,000
017,,,Hong,Hong-Kong,,000
018,,,Hungary,Hungary,,000
019,,,India,India,,000
020,,,Iran,Iran,,000
021,,,Ireland,Ireland,,000
022,,,Italy,Italy,,000
023,,,Jamaica,Jamaica,,000
024,,,Japan,Japan,,000
025,,,Laos,Laos,,000
026,,,Mexico,Mexico,,000
027,,,Nicaragua,Nicaragua,,000
028,,,Outlying-US(Guam-USVI-etc),Outlying-US(Guam-USVI-etc),,000
029,,,Peru,Peru,,000
030,,,Philippines,Philippines,,000
031,,,Poland,Poland,,000
032,,,Portugal,Portugal,,000
033,,,Puerto-Rico,Puerto-Rico,,000
034,,,Scotland,Scotland,,000
035,,,South,South,,000
036,,,Taiwan,Taiwan,,000
037,,,Thailand,Thailand,,000
038,,,Trinadad&Tobago,Trinidad-and-Tobago,,000
039,,,United-States,United-States,,000
040,,,Vietnam,Vietnam,,000
041,,,Yugoslavia,Yugoslavia,,000
