p_id,age,workclass,fnlwgt,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income_lev,education_cat_lev
0,39,State-gov,77516,13,Never-married,Adm-clerical,Not-in-family,4,1,2174,0,40,United-States,0,4
1,50,Self-emp-not-inc,83311,13,Married-civ-spouse,Exec-managerial,Husband,4,1,0,0,13,United-States,0,4
2,38,Private,215646,9,Divorced,Handlers-cleaners,Not-in-family,4,1,0,0,40,United-States,0,2
3,53,Private,234721,7,Married-civ-spouse,Handlers-cleaners,Husband,2,1,0,0,40,United-States,0,1
4,28,Private,338409,13,Married-civ-spouse,Prof-specialty,Wife,2,0,0,0,40,Cuba,0,4
5,37,Private,284582,14,Married-civ-spouse,Exec-managerial,Wife,4,0,0,0,40,United-States,0,5
6,49,Private,160187,5,Married-spouse-absent,Other-service,Not-in-family,2,0,0,0,16,Jamaica,0,1
7,52,Self-emp-not-inc,209642,9,Married-civ-spouse,Exec-managerial,Husband,4,1,0,0,45,United-States,1,2
8,31,Private,45781,14,Never-married,Prof-specialty,Not-in-family,4,0,14084,0,50,United-States,1,5
9,42,Private,159449,13,Married-civ-spouse,Exec-managerial,Husband,4,1,5178,0,40,United-States,1,4
10,37,Private,280464,10,Married-civ-spouse,Exec-managerial,Husband,2,1,0,0,80,United-States,1,3
11,30,State-gov,141297,13,Married-civ-spouse,Prof-specialty,Husband,1,1,0,0,40,India,1,4
12,23,Private,122272,13,Never-married,Adm-clerical,Own-child,4,0,0,0,30,United-States,0,4
13,32,Private,205019,12,Never-married,Sales,Not-in-family,2,1,0,0,50,United-States,0,3
14,40,Private,121772,11,Married-civ-spouse,Craft-repair,Husband,1,1,0,0,40,?,1,3
15,34,Private,245487,4,Married-civ-spouse,Transport-moving,Husband,0,1,0,0,45,Mexico,0,1
16,25,Self-emp-not-inc,176756,9,Never-married,Farming-fishing,Own-child,4,1,0,0,35,United-States,0,2
17,32,Private,186824,9,Never-married,Machine-op-inspct,Unmarried,4,1,0,0,40,United-States,0,2
18,38,Private,28887,7,Married-civ-spouse,Sales,Husband,4,1,0,0,50,United-States,0,1
19,43,Self-emp-not-inc,292175,14,Divorced,Exec-managerial,Unmarried,4,0,0,0,45,United-States,1,5
20,40,Private,193524,16,Married-civ-spouse,Prof-specialty,Husband,4,1,0,0,60,United-States,1,5
21,54,Private,302146,9,Separated,Other-service,Unmarried,2,0,0,0,20,United-States,0,2
22,35,Federal-gov,76845,5,Married-civ-spouse,Farming-fishing,Husband,2,1,0,0,40,United-States,0,1
23,43,Private,117037,7,Married-civ-spouse,Transport-moving,Husband,4,1,0,2042,40,United-States,0,1
24,59,Private,109015,9,Divorced,Tech-support,Unmarried,4,0,0,0,40,United-States,0,2
25,56,Local-gov,216851,13,Married-civ-spouse,Tech-support,Husband,4,1,0,0,40,United-States,1,4
26,19,Private,168294,9,Never-married,Craft-repair,Own-child,4,1,0,0,40,United-States,0,2
27,54,?,180211,10,Married-civ-spouse,?,Husband,1,1,0,0,60,South,1,3
28,39,Private,367260,9,Divorced,Exec-managerial,Not-in-family,4,1,0,0,80,United-States,0,2
29,49,Private,193366,9,Married-civ-spouse,Craft-repair,Husband,4,1,0,0,40,United-States,0,2
30,23,Local-gov,190709,12,Never-married,Protective-serv,Not-in-family,4,1,0,0,52,United-States,0,3
31,20,Private,266015,10,Never-married,Sales,Own-child,2,1,0,0,44,United-States,0,3
32,45,Private,386940,13,Divorced,Exec-managerial,Own-child,4,1,0,1408,40,United-States,0,4
33,30,Federal-gov,59951,10,Married-civ-spouse,Adm-clerical,Own-child,4,1,0,0,40,United-States,0,3
34,22,State-gov,311512,10,Married-civ-spouse,Other-service,Husband,2,1,0,0,15,United-States,0,3
35,48,Private,242406,7,Never-married,Machine-op-inspct,Unmarried,4,1,0,0,40,Puerto-Rico,0,1
36,21,Private,197200,10,Never-married,Machine-op-inspct,Own-child,4,1,0,0,40,United-States,0,3
37,19,Private,544091,9,Married-AF-spouse,Adm-clerical,Wife,4,0,0,0,25,United-States,0,2
38,31,Private,84154,10,Married-civ-spouse,Sales,Husband,4,1,0,0,38,?,1,3
39,48,Self-emp-not-inc,265477,12,Married-civ-spouse,Prof-specialty,Husband,4,1,0,0,40,United-States,0,3
40,31,Private,507875,5,Married-civ-spouse,Machine-op-inspct,Husband,4,1,0,0,43,United-States,0,1
41,53,Self-emp-not-inc,88506,13,Married-civ-spouse,Prof-specialty,Husband,4,1,0,0,40,United-States,0,4
42,24,Private,172987,13,Married-civ-spouse,Tech-support,Husband,4,1,0,0,50,United-States,0,4
43,49,Private,94638,9,Separated,Adm-clerical,Unmarried,4,0,0,0,40,United-States,0,2
44,25,Private,289980,9,Never-married,Handlers-cleaners,Not-in-family,4,1,0,0,35,United-States,0,2
45,57,Federal-gov,337895,13,Married-civ-spouse,Prof-specialty,Husband,2,1,0,0,40,United-States,1,4
46,53,Private,144361,9,Married-civ-spouse,Machine-op-inspct,Husband,4,1,0,0,38,United-States,0,2
47,44,Private,128354,14,Divorced,Exec-managerial,Unmarried,4,0,0,0,40,United-States,0,5
48,41,State-gov,101603,11,Married-civ-spouse,Craft-repair,Husband,4,1,0,0,40,United-States,0,3
49,29,Private,271466,11,Never-married,Prof-specialty,Not-in-family,4,1,0,0,43,United-States,0,3
50,25,Private,32275,10,Married-civ-spouse,Exec-managerial,Wife,3,0,0,0,40,United-States,0,3
51,18,Private,226956,9,Never-married,Other-service,Own-child,4,0,0,0,30,?,0,2
52,47,Private,51835,15,Married-civ-spouse,Prof-specialty,Wife,4,0,0,1902,60,Honduras,1,5
53,50,Federal-gov,251585,13,Divorced,Exec-managerial,Not-in-family,4,1,0,0,55,United-States,1,4
54,47,Self-emp-inc,109832,9,Divorced,Exec-managerial,Not-in-family,4,1,0,0,60,United-States,0,2
55,43,Private,237993,10,Married-civ-spouse,Tech-support,Husband,4,1,0,0,40,United-States,1,3
56,46,Private,216666,3,Married-civ-spouse,Machine-op-inspct,Husband,4,1,0,0,40,Mexico,0,1
57,35,Private,56352,11,Married-civ-spouse,Other-service,Husband,4,1,0,0,40,Puerto-Rico,0,3
58,41,Private,147372,9,Married-civ-spouse,Adm-clerical,Husband,4,1,0,0,48,United-States,0,2
59,30,Private,188146,9,Married-civ-spouse,Machine-op-inspct,Husband,4,1,5013,0,40,United-States,0,2
60,30,Private,59496,13,Married-civ-spouse,Sales,Husband,4,1,2407,0,40,United-States,0,4
61,32,?,293936,4,Married-spouse-absent,?,Not-in-family,4,1,0,0,40,?,0,1
62,48,Private,149640,9,Married-civ-spouse,Transport-moving,Husband,4,1,0,0,40,United-States,0,2
63,42,Private,116632,16,Married-civ-spouse,Prof-specialty,Husband,4,1,0,0,45,United-States,1,5
64,29,Private,105598,10,Divorced,Tech-support,Not-in-family,4,1,0,0,58,United-States,0,3
65,36,Private,155537,9,Married-civ-spouse,Craft-repair,Husband,4,1,0,0,40,United-States,0,2
66,28,Private,183175,10,Divorced,Adm-clerical,Not-in-family,4,0,0,0,40,United-States,0,3
67,53,Private,169846,9,Married-civ-spouse,Adm-clerical,Wife,4,0,0,0,40,United-States,1,2
68,49,Self-emp-inc,191681,10,Married-civ-spouse,Exec-managerial,Husband,4,1,0,0,50,United-States,1,3
69,25,?,200681,10,Never-married,?,Own-child,4,1,0,0,40,United-States,0,3
70,19,Private,101509,10,Never-married,Prof-specialty,Own-child,4,1,0,0,32,United-States,0,3
71,31,Private,309974,13,Separated,Sales,Own-child,2,0,0,0,40,United-States,0,4
72,29,Self-emp-not-inc,162298,13,Married-civ-spouse,Sales,Husband,4,1,0,0,70,United-States,1,4
73,23,Private,211678,10,Never-married,Machine-op-inspct,Not-in-family,4,1,0,0,40,United-States,0,3
74,79,Private,124744,10,Married-civ-spouse,Prof-specialty,Other-relative,4,1,0,0,20,United-States,0,3
75,27,Private,213921,9,Never-married,Other-service,Own-child,4,1,0,0,40,Mexico,0,2
76,40,Private,32214,12,Married-civ-spouse,Adm-clerical,Husband,4,1,0,0,40,United-States,0,3
77,67,?,212759,6,Married-civ-spouse,?,Husband,4,1,0,0,2,United-States,0,1
78,18,Private,309634,7,Never-married,Other-service,Own-child,4,0,0,0,22,United-States,0,1
79,31,Local-gov,125927,4,Married-civ-spouse,Farming-fishing,Husband,4,1,0,0,40,United-States,0,1
80,18,Private,446839,9,Never-married,Sales,Not-in-family,4,1,0,0,30,United-States,0,2
81,52,Private,276515,13,Married-civ-spouse,Other-service,Husband,4,1,0,0,40,Cuba,0,4
82,46,Private,51618,9,Married-civ-spouse,Other-service,Wife,4,0,0,0,40,United-States,0,2
83,59,Private,159937,9,Married-civ-spouse,Sales,Husband,4,1,0,0,48,United-States,0,2
84,44,Private,343591,9,Divorced,Craft-repair,Not-in-family,4,0,14344,0,40,United-States,1,2
85,53,Private,346253,9,Divorced,Sales,Own-child,4,0,0,0,35,United-States,0,2
